timestamp,initial_mode,outcomes,best_strategy,strategy_parameters,profit,win_rate,number_of_bets
20250221_233302,BBB,BPPPPBPBBBBPPBPBBBPPPPBPBPBBPPBBPTBPPBPPPTBPPBBPBPBBPBTBPPBPBBTBBP,adaptive_bias,"window_size=10, weight_recent=2.3",5.6000000000000005,0.75,12
20250221_234727,BBB,PBPPPTPPBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBPPBBBPBBPPPBBTBBPPPBBTBBBBPPTBP,dynamic_skip,"base_confidence=0.55, risk_threshold=0.35, window_size=10, short_window=4, recovery_factor=0.04",5.65,0.75,12
20250222_001237,PPP,BPBBPBBPBPBPBBBPBBTPTPBBPPBPTBBPBPTBBPBPBPPPBBBBTTBB,conservative_pattern,"min_confidence=0.75, pattern_length=5, window_size=15, lookback_depth=3",5.8500000000000005,1.0,6
20250222_003930,BBB,PBBTPPPPPPBTPBBPBPPPBPPBBTBBPTBBBTPPBPBPBBBPBTPPPBPPBBBBBBBBBBBPBBP,original,default,6.0,0.6875,17
20250222_102553,PPP,PBBBPBBBPBBBPPPBTPBPBTBPTBPPPPBPBBPBPBBB,confidence_threshold_escalator,"base_threshold=0.55, escalation_factor=0.06, max_threshold=0.75, de_escalation_factor=0.02, pattern_length=4, window_sizes=[4, 8, 16]",5.6000000000000005,0.6875,18
20250222_110103,BBB,BPBPPPBPBBBTBPBBBBPBBPBTBTPPPPTPBBBPBBBTTPPBBBPBPPBPPBBBBPPBPBPBBPP,streak_reversal_safe_exit,"streak_threshold=3, exit_loss_threshold=2, recovery_period=4, banker_bias=0.51, window_size=20",6.0,0.574468085106383,53
20250222_113949,PPP,BBPBBBPTPBPPPPPBBPTPBPBTPTBBTBBPPBBPBBBPBPPTBTPBPPPBPBPBPPPBBPPBPPPT,conservative_pattern,"min_confidence=0.7, pattern_length=4, window_size=12, lookback_depth=3",2.75,0.5714285714285714,24
20250224_081751,PPP,BBPBPBBBPPTPBBBPPPPBTBBPPPTPBBBBBTTPBBBBPPBTPBTBBBBB,conservative_pattern,"min_confidence=0.7, pattern_length=4, window_size=12, lookback_depth=3",5.9,1.0,6
20250224_082609,PPP,PBBBBBBPTPPPPPBPPPTPPBPPBBBBB,confidence_threshold_escalator,"base_threshold=0.5, escalation_factor=0.08, max_threshold=0.85, de_escalation_factor=0.01, pattern_length=5, window_sizes=[8, 16, 32]",5.95,0.6875,18
20250224_084003,PPP,PBPBBBPPBPPTBPPTBBBPBPPBBBPPBBTBPPBBBPBBB,streak_reversal_safe_exit,"streak_threshold=2, exit_loss_threshold=3, recovery_period=3, banker_bias=0.52, window_size=15",5.65,0.65,22
20250224_090928,BBB,PPPBPBBTBPTBPPPBPBTBTBPBBPBTPBPBPBPPBPBBTPPBPBBPBPBPTPPBBTBPPTBPTBPBPPPP,conservative_pattern,"min_confidence=0.7, pattern_length=4, window_size=12, lookback_depth=3",5.7,0.7142857142857143,16
20250224_092118,PPP,BBPTBBBPBPPPBBBPBBBBPBPBPBBBPPBBBBTBB,loss_aversion,"base_confidence=0.55, recovery_threshold=2, window_size=15, short_window=5",5.8500000000000005,0.875,8
20250224_094318,PPP,PBBBBPBTPBPPPBBBBBPBBPTPBBBPPTTBPTPBPTPPPPPBPBPPBPPBBP,loss_aversion,"base_confidence=0.55, recovery_threshold=2, window_size=20, short_window=6",5.750000000000001,0.8,11
