timestamp,duration,initial_mode,end_line_reason,bias,first_6_outcomes,profit,all_outcomes_first_shoe,all_outcomes_second_shoe
20250324_210754,13,PPP,"only 1 cube value left, higher than 100 and in profit",,PBBBBP,398.5,PBBBBPBBPPPBBPTBBBBTTBBBPBBBPPBBBB,
20250324_213303,23,BBB,"decent profit with many bad streaks (150+, 3 streaks)",,PBPPBP,191.0,PTBPPBPBBBTPPBBBPTPBPPTTBBPPPBPTPBBBBBPPPPBBPTBPPBTBPPPPPP,
20250324_214219,8,BBB,"only 1 cube value left, higher than 100 and in profit",,PPPBBP,440.0,PPTPBBPTBPBPPBPPPPPPBPBBPPPP,
20250324_215703,12,PPP,"contradicting bias (PPP mode, 69.6% player wins)",,PPBBBB,192.5,PPBBTBBPBPTPBBBPTPPPPPPPPPPPBBBP,
20250324_221854,16,PPP,"only 1 cube value left, higher than 100 and in profit",B,PPBBBB,380.5,PPBBBBBBPPBPPPPPBBBTPTBBPBBBBBBBPBPBB,
20250324_223138,11,PPP,"only 1 cube value left, higher than 100 and in profit",,BPBBBB,407.0,BPBBBBPBPBBBPPBPPBBBTBPBBPBPBPBTBB,
20250325_213852,24,BBB,Shoe finished,,PPPBPB,-751.5,PPPBTPBPPTTPBBPPBBBPBPPBBBPTPBPPBPPBPPBBPPBPBPBPPBBPPBBBBB,
20250326_203241,19,PPP,few cubes with bad streaks (2+ streaks),B,BBBPPB,227.0,BBBPPBTPBPTBBTBTPBPPPPBBBPBPPBBBTPPPBPTPPBBBPTTB,
20250326_211231,13,BBB,few cubes with bad streaks (2+ streaks),,PPBPPP,358.5,PPBPPPBPBPTBPBPBPPPPBTPPTBBPPBBBBPBBB,
20250327_212306,18,BBB,"only 1 cube value left, higher than 100 and in profit",,PBPPBP,427.5,PBPPBPBBBBBPPPPBBPBBPBTPPBPBTBPPPTBPPPBPPPPP,
20250327_214250,18,BBB,few cubes with bad streaks (2+ streaks),,PBPBPP,309.5,PBPBPPPBPBBPBBBBBPBPBBPPBPPPPPBPBBPPPBPPPBBBBPPBBP,
20250327_215338,9,PPP,"only 1 cube value left, higher than 100 and in profit",,PBBBPB,424.5,PBBBPBBBPPTBPBBTBBBBBBBPPBBB,
